,"Fish, Seafood",Alcoholic Beverages,Eggs,Milk - Excluding Butter,Country
0,0.0006383454755164,3.0360992197225e-05,0.1327915629926195,0.3531242906258783,Afghanistan
1,0.0229349212827217,0.0952019599740188,0.4601127598577228,0.9177735457898416,Albania
2,0.0241929089086152,0.0116702209315405,0.3137647329423159,0.4022507049371642,Algeria
3,0.1847758495580285,0.2512785433060988,0.0227809172649092,0.0449968705968861,Angola
4,0.3468606801363571,0.226478029017947,0.1183206907609108,0.3788169086984538,Antigua and Barbuda
5,0.0376072992398332,0.1853131484151227,0.5483267338812601,0.373834395057139,Argentina
6,0.0313196976403475,0.023402258302468,0.438624631458695,0.5406081068458234,Armenia
7,0.1157813780442129,0.2480824385340868,0.2551231332079678,0.4721079744870681,Australia
8,0.074344103208951,0.334281534355721,0.4512429994712584,0.4249900025628239,Austria
9,0.0214191858995955,0.2237814830720023,0.4335013473259199,0.4205957789396617,Azerbaijan
10,0.2436619611963237,0.2321224673681369,0.3967753906268843,0.2247360774280612,Bahamas
11,0.2424622312479548,6.722791129383333e-05,0.2289739843213961,0.108578325508539,Bangladesh
12,0.3011884726837051,0.1498551106170361,0.4029450008129299,0.2396546040195009,Barbados
13,0.087012900120468,0.2946107475477228,0.497804611039281,0.2042933138241705,Belarus
14,0.1107268533949922,0.2657500904149418,0.3965376113306491,0.4585292822927154,Belgium
15,0.081764287214458,0.1715408680612804,0.2023308393903698,0.1611102436746508,Belize
16,0.1185487606857409,0.2417693602557507,0.0330971693408915,0.0478083976476468,Benin
17,0.0220715543791634,0.1135895343243752,0.403108435175501,0.1774987988755466,Bolivia
18,0.0333514456054142,0.3549602112182617,0.1906241883887412,0.5300096424774904,Bosnia and Herzegovina
19,0.0404161074227809,0.1934509643063724,0.0656675033753448,0.4885957957315722,Botswana
20,0.0453634624884623,0.1871300108970696,0.2694332120708018,0.3660494291848697,Brazil
21,0.0513080842763028,0.3913432140208639,0.3656245423835245,0.4773941556107721,Bulgaria
22,0.0590200713561388,0.4961285402205246,0.1092245799902398,0.1037142486023759,Burkina Faso
23,0.0892069045200286,0.1672939668246922,0.2432400249451165,0.3001945962498577,Cabo Verde
24,0.4859758531403603,0.1907606904100154,0.0929805007453181,0.0150987680830016,Cambodia
25,0.125433464191698,0.210463094497202,0.0020586034728178,0.0365114797726668,Cameroon
26,0.101048960124422,0.2068337535765502,0.4470921440827238,0.2943461720147744,Canada
27,0.0826645223242373,0.072724511767038,0.0199152584647335,0.0821473659825451,Central African Republic
28,0.0996294242026239,0.0272743875042379,0.007547945373989,0.2390141171796943,Chad
29,0.0818892218926721,0.2107962495739747,0.4327529242027765,0.2843646411500384,Chile
30,0.261325703726288,0.1328867498796826,0.7525892281903945,0.1260648670411202,China
31,0.0483815433266958,0.1309986560720065,0.5051383051379869,0.3386175133634073,Colombia
32,0.2509855908078734,0.2125595937618409,0.0183242632572927,0.0150656715276043,Congo
33,0.1406334115740091,0.1150972957713735,0.4022615004452235,0.4837188858038811,Costa Rica
34,0.148045991389671,0.0610121365735524,0.0906594114394565,0.0131795393867526,Cote d'Ivoire
35,0.1006408309437627,0.2852158131856779,0.2792488713259719,0.5319952667659763,Croatia
36,0.0323624183571044,0.10815116518098,0.3525542559396024,0.2381549670458607,Cuba
37,0.1612349811878078,0.183453108195185,0.3418554872187008,0.4060318826576938,Cyprus
38,0.0521787977645488,0.5302587305411026,0.2866057902498047,0.4196358271552583,Czechia
39,0.1592003420767566,0.2626344999889009,0.5539148540246185,0.5991518153979666,Denmark
40,0.0371012740229248,0.0166340763048029,0.0535127139710865,0.1647847890644635,Djibouti
41,0.1958466145214924,0.1126110062013964,0.0828356528160887,0.3317984810532773,Dominica
